Table 1 
Jupiter Grid at 1 and 0.7 L_sun


Gravity	T_eff_1	T_10_10	T_eff_07	T_10_07	T_int	
3.2	1201.6	3471.1	1201.6	3471.1	1200	
	904.7	3124.9	904.7	3124.9	900	
	751.3	2894.2	751.2	2894.2	750	
	600.6	2582.3	600.5	2582.4	600	
	 ... 	 ... 	 ... 	 ... 	450	
	 ... 	 ... 	 ... 	 ... 	316	
	 ... 	 ... 	 ... 	 ... 	224	
	 ... 	 ... 	 ... 	 ... 	168	
	 ... 	 ... 	 ... 	 ... 	133	
	 ... 	 ... 	 ... 	 ... 	112	
	 ... 	 ... 	 ... 	 ... 	100	
	 ... 	 ... 	 ... 	 ... 	89	
5.6	1201.2	3359.3	1202.6	3360.3	1200	
	902.5	2984.3	902.6	2984.3	900	
	750.8	2730.3	750.7	2730.2	750	
	600.4	2391.7	600.4	2391.6	600	
	450.6	1966.2	450.4	1966.1	450	
	 ... 	 ... 	 ... 	 ... 	316	
	 ... 	 ... 	 ... 	 ... 	224	
	 ... 	 ... 	 ... 	 ... 	168	
	 ... 	 ... 	 ... 	 ... 	133	
	 ... 	 ... 	 ... 	 ... 	112	
	 ... 	 ... 	 ... 	 ... 	100	
	 ... 	 ... 	 ... 	 ... 	89	
9.1	1201.8	3255.1	1202.2	3255.8	1200	
	901.5	2850.3	901.5	2850.2	900	
	750.5	2571.4	750.5	2571.4	750	
	600.4	2222.1	600.3	2222.1	600	
	450.6	1816.0	450.4	1815.9	450	
	317.4	1312.2	317.0	1310.2	316	
	227.3	842.6	226.4	838.0	224	
	 ... 	 ... 	 ... 	 ... 	168	
	 ... 	 ... 	 ... 	 ... 	133	
	 ... 	 ... 	 ... 	 ... 	112	
	 ... 	 ... 	 ... 	 ... 	100	
	 ... 	 ... 	 ... 	 ... 	89	
13.5	1201.5	3165.6	1201.8	3166.0	1200	
	901.5	2731.4	901.0	2731.4	900	
	750.4	2435.8	750.4	2435.8	750	
	600.3	2086.1	600.3	2086.0	600	
	450.6	1701.6	450.4	1701.6	450	
	317.4	1233.5	317.0	1231.7	316	
	227.4	791.8	226.4	787.4	224	
	175.3	558.7	173.2	552.4	168	
	146.4	451.4	142.7	439.9	133	
	 ... 	 ... 	 ... 	 ... 	112	
	 ... 	 ... 	 ... 	 ... 	100	
	 ... 	 ... 	 ... 	 ... 	89	
18.2	 ... 	 ... 	 ... 	 ... 	1200	
	 ... 	 ... 	 ... 	 ... 	900	
	750.3	2330.5	750.3	2330.5	750	
	600.3	1987.6	600.2	1987.6	600	
	450.6	1617.7	450.4	1617.6	450	
	317.4	1174.5	317.0	1172.6	316	
	227.4	754.4	226.4	750.4	224	
	175.4	533.5	173.2	527.5	168	
	146.4	430.9	142.8	419.6	133	
	131.9	375.8	126.8	360.0	112	
	125.0	348.9	118.9	330.1	100	
	119.7	322.9	112.9	306.9	89	
22.4	 ... 	 ... 	 ... 	 ... 	1200	
	 ... 	 ... 	 ... 	 ... 	900	
	 ... 	 ... 	 ... 	 ... 	750	
	600.3	1918.6	600.2	1918.6	600	
	450.6	1561.0	450.4	1560.9	450	
	317.4	1135.3	317.0	1133.5	316	
	227.4	729.5	226.4	725.3	224	
	175.4	515.9	173.3	510.0	168	
	146.5	417.1	142.8	406.5	133	
	131.9	364.3	126.8	348.5	112	
	125.0	337.9	119.0	320.0	100	
	119.8	317.9	113.0	296.9	89	
25.1	 ... 	 ... 	 ... 	 ... 	1200	
	 ... 	 ... 	 ... 	 ... 	900	
	 ... 	 ... 	 ... 	 ... 	750	
	 ... 	 ... 	 ... 	 ... 	600	
	 ... 	 ... 	 ... 	 ... 	450	
	 ... 	 ... 	 ... 	 ... 	316	
	227.4	716.0	226.4	712.0	224	
	175.4	506.9	173.3	501.1	168	
	146.5	409.7	142.8	399.2	133	
	132.0	357.4	126.9	342.3	112	
	125.1	331.9	119.1	314.3	100	
	119.9	312.5	113.1	292.3	89	
28.2	 ... 	 ... 	 ... 	 ... 	1200	
	 ... 	 ... 	 ... 	 ... 	900	
	 ... 	 ... 	 ... 	 ... 	750	
	 ... 	 ... 	 ... 	 ... 	600	
	 ... 	 ... 	 ... 	 ... 	450	
	 ... 	 ... 	 ... 	 ... 	316	
	227.7	703.7	226.6	699.5	224	
	176.0	499.4	173.7	493.1	168	
	146.5	402.3	142.8	391.6	133	
	132.0	350.9	126.9	336.1	112	
	125.1	325.8	119.1	308.7	100	
	120.0	307.2	113.2	286.8	89	
